id,playlist_id,playlist_name,artist_name,artistid,name,username,added_at,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres
25ygrPb0Vn9D3wcq0KO9eF,spotify:playlist:37i9dQZF1DX3Fzl4v4w9Zp,The Pulse of Americana,Ashley Monroe,https://open.spotify.com/artist/37BiX28I6pF104F92U1hDP,Drive,,2021-02-19,False,168780,14,0.548,-9.004,147.959,0.0347,0.591,0.521,0.0968,0.0525,"['contemporary country', 'country', 'country dawn', 'country pop', 'kentucky roots']"
0EXdNsNOxZH1TLzBYUgY55,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,TOLEDO,https://open.spotify.com/artist/2xK3hBpuuHSxmHr96TzgDO,Dog Has Its Day,,2021-02-19,False,190955,41,0.505,-9.943,77.298,0.229,0.489,0.772,0.359,0.031,['brooklyn indie']
0EXdNsNOxZH1TLzBYUgY55,spotify:playlist:37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk,TOLEDO,https://open.spotify.com/artist/2xK3hBpuuHSxmHr96TzgDO,Dog Has Its Day,,2021-02-19,False,190955,41,0.505,-9.943,77.298,0.229,0.489,0.772,0.359,0.031,['brooklyn indie']
5N0G5cRxTO7zP2c0pREZbw,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,Wild Rivers,https://open.spotify.com/artist/59sBwR0jPSTrbMtuTkRPN5,Love Gone Wrong,,2021-02-19,False,160120,51,0.44,-5.586,77.846,0.681,0.417,0.222,0.0897,0.0324,"['folk-pop', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'neo mellow']"
5N0G5cRxTO7zP2c0pREZbw,spotify:playlist:37i9dQZF1DWXJyjYpHunCf,Folk Pop,Wild Rivers,https://open.spotify.com/artist/59sBwR0jPSTrbMtuTkRPN5,Love Gone Wrong,,2021-02-19,False,160120,51,0.44,-5.586,77.846,0.681,0.417,0.222,0.0897,0.0324,"['folk-pop', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'neo mellow']"
2KWrSa9jhJXBU1kKkgpH2R,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,Field Medic,https://open.spotify.com/artist/4wMfqR1EZagrSlYndItxGQ,chamomile,,2021-02-19,False,233789,44,0.486,-12.478,93.565,0.985,0.108,0.175,0.109,0.0393,"['anti-folk', 'bubblegrunge', 'indie folk', 'indie rock', 'lo-fi indie']"
2KWrSa9jhJXBU1kKkgpH2R,spotify:playlist:37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk,Field Medic,https://open.spotify.com/artist/4wMfqR1EZagrSlYndItxGQ,chamomile,,2021-02-19,False,233789,44,0.486,-12.478,93.565,0.985,0.108,0.175,0.109,0.0393,"['anti-folk', 'bubblegrunge', 'indie folk', 'indie rock', 'lo-fi indie']"
56LspSpx7X7nCATWGZLYs5,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,Indigo Sparke,https://open.spotify.com/artist/3KlPjpVKfm6vESPL46NDCh,Everything Everything,,2021-02-19,False,206950,38,0.5,-16.361,119.255,0.987,0.171,0.16,0.0997,0.035,[]
56LspSpx7X7nCATWGZLYs5,spotify:playlist:37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk,Indigo Sparke,https://open.spotify.com/artist/3KlPjpVKfm6vESPL46NDCh,Everything Everything,,2021-02-19,False,206950,38,0.5,-16.361,119.255,0.987,0.171,0.16,0.0997,0.035,[]
1jRhmp69z3clRhNjev6P6f,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,Hand Habits,https://open.spotify.com/artist/5poU7FPEYoBlwjzOEWMbX5,4th of july,,2021-02-19,False,176268,48,0.592,-10.899,100.727,0.452,0.296,0.31,0.112,0.0254,"['art pop', 'bedroom pop', 'freak folk', 'indie folk', 'indie rock']"
