artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Led Zeppelin,Whole Lotta Love - 1990 Remaster,,False,333893,78,0.412,-11.6,89.74,0.0484,0.902,0.422,0.405,0.405,"['album rock', 'classic rock', 'hard rock', 'rock']",1969-10-22
Led Zeppelin,Whole Lotta Love - 1990 Remaster,,False,333893,78,0.412,-11.6,89.74,0.0484,0.902,0.422,0.405,0.405,"['album rock', 'classic rock', 'hard rock', 'rock']",1969-10-22
Stevie Wonder,For Once In My Life,,False,169800,72,0.524,-11.903,110.121,0.195,0.519,0.847,0.523,0.043,"['adult standards', 'motown', 'quiet storm', 'soul']",1968-12-01
Stevie Wonder,For Once In My Life,,False,169800,72,0.524,-11.903,110.121,0.195,0.519,0.847,0.523,0.043,"['adult standards', 'motown', 'quiet storm', 'soul']",1968-12-01
Stevie Wonder,A Place In The Sun,,False,172960,53,0.561,-11.389,117.784,0.279,0.447,0.729,0.319,0.0544,"['adult standards', 'motown', 'quiet storm', 'soul']",1966-11-01
Stevie Wonder,A Place In The Sun,,False,172960,53,0.561,-11.389,117.784,0.279,0.447,0.729,0.319,0.0544,"['adult standards', 'motown', 'quiet storm', 'soul']",1966-11-01
Stevie Wonder,I Was Made To Love Her,,False,158666,35,0.349,-10.577,202.426,0.296,0.543,0.875,0.0665,0.0429,"['adult standards', 'motown', 'quiet storm', 'soul']",1967-08-01
Stevie Wonder,I Was Made To Love Her,,False,158666,35,0.349,-10.577,202.426,0.296,0.543,0.875,0.0665,0.0429,"['adult standards', 'motown', 'quiet storm', 'soul']",1967-08-01
Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",,False,160500,2,0.67,-10.365,108.826,0.0514,0.619,0.807,0.0492,0.0323,"['adult standards', 'motown', 'quiet storm', 'soul']",1970-08-01
Stevie Wonder,Part-Time Lover,,False,252560,69,0.662,-13.606,174.513,0.165,0.624,0.961,0.0674,0.0417,"['adult standards', 'motown', 'quiet storm', 'soul']",1985-09-13
Buffalo Springfield,For What It's Worth,,False,153693,76,0.653,-10.164,98.883,0.406,0.519,0.822,0.101,0.0497,"['blues rock', 'classic rock', 'country rock', 'folk', 'folk rock']",1966-12-05
Buffalo Springfield,For What It's Worth,,False,153693,76,0.653,-10.164,98.883,0.406,0.519,0.822,0.101,0.0497,"['blues rock', 'classic rock', 'country rock', 'folk', 'folk rock']",1966-12-05
The Lovin' Spoonful,Do You Believe in Magic?,,False,125826,67,0.553,-7.963,138.602,0.213,0.738,0.759,0.339,0.0457,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk']",1965-11
The Lovin' Spoonful,Do You Believe in Magic?,,False,125826,67,0.553,-7.963,138.602,0.213,0.738,0.759,0.339,0.0457,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk']",1965-11
Gerry & The Pacemakers,Ferry Cross the Mersey - Stereo; 1997 Remaster,,False,143866,57,0.396,-11.494,105.289,0.548,0.286,0.605,0.122,0.0283,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop']",1965-02-01
Gerry & The Pacemakers,Ferry Cross the Mersey - Stereo; 1997 Remaster,,False,143866,57,0.396,-11.494,105.289,0.548,0.286,0.605,0.122,0.0283,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop']",1965-02-01
The Tremeloes,Silence Is Golden,,False,190933,54,0.436,-7.268,112.169,0.0557,0.565,0.582,0.244,0.0294,"['adult standards', 'beatlesque', 'brill building pop', 'british invasion', 'bubblegum pop']",1997-05-20
The Tremeloes,Silence Is Golden,,False,190933,54,0.436,-7.268,112.169,0.0557,0.565,0.582,0.244,0.0294,"['adult standards', 'beatlesque', 'brill building pop', 'british invasion', 'bubblegum pop']",1997-05-20
Steppenwolf,Born To Be Wild,,False,210373,74,0.438,-12.412,145.928,0.262,0.71,0.53,0.221,0.0919,"['acid rock', 'album rock', 'art rock', 'blues rock', 'classic canadian rock']",1968
Steppenwolf,Born To Be Wild,,False,210373,74,0.438,-12.412,145.928,0.262,0.71,0.53,0.221,0.0919,"['acid rock', 'album rock', 'art rock', 'blues rock', 'classic canadian rock']",1968
The Jackson 5,I Want You Back,,False,176333,76,0.469,-13.559,196.605,0.305,0.538,0.886,0.37,0.0571,"['adult standards', 'motown']",1969-12-18
The Jackson 5,Who's Lovin' You,,False,235640,61,0.247,-13.16,161.982,0.648,0.307,0.403,0.281,0.0371,"['adult standards', 'motown']",1969-12-18
The Jackson 5,I Want You Back,,False,176333,76,0.469,-13.559,196.605,0.305,0.538,0.886,0.37,0.0571,"['adult standards', 'motown']",1969-12-18
The Jackson 5,Who's Lovin' You,,False,235640,61,0.247,-13.16,161.982,0.648,0.307,0.403,0.281,0.0371,"['adult standards', 'motown']",1969-12-18
The Velvet Underground,Sunday Morning,,False,175893,68,0.506,-13.268,105.826,0.0869,0.442,0.532,0.0846,0.0276,"['alternative rock', 'art rock', 'classic rock', 'folk rock', 'melancholia']",1967-03-12
The Velvet Underground,Sunday Morning,,False,175893,68,0.506,-13.268,105.826,0.0869,0.442,0.532,0.0846,0.0276,"['alternative rock', 'art rock', 'classic rock', 'folk rock', 'melancholia']",1967-03-12
Jefferson Airplane,Somebody to Love,,False,174840,73,0.504,-9.302,132.411,0.408,0.578,0.654,0.321,0.031,"['acid rock', 'blues rock', 'classic rock', 'folk rock', 'psychedelic rock']",1967
Jefferson Airplane,White Rabbit,,False,150640,70,0.551,-12.503,106.798,0.486,0.293,0.322,0.0864,0.0272,"['acid rock', 'blues rock', 'classic rock', 'folk rock', 'psychedelic rock']",1967
Jefferson Airplane,Somebody to Love,,False,174840,73,0.504,-9.302,132.411,0.408,0.578,0.654,0.321,0.031,"['acid rock', 'blues rock', 'classic rock', 'folk rock', 'psychedelic rock']",1967
Jefferson Airplane,White Rabbit,,False,150640,70,0.551,-12.503,106.798,0.486,0.293,0.322,0.0864,0.0272,"['acid rock', 'blues rock', 'classic rock', 'folk rock', 'psychedelic rock']",1967
Four Tops,Baby I Need Your Loving,,False,166026,63,0.632,-6.116,121.414,0.437,0.686,0.65,0.193,0.0395,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk']",1965-01-01
Four Tops,Baby I Need Your Loving,,False,166026,63,0.632,-6.116,121.414,0.437,0.686,0.65,0.193,0.0395,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk']",1965-01-01
The 5th Dimension,Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered],,False,290400,48,0.312,-10.05,118.235,0.47,0.555,0.491,0.084,0.0377,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock']",2011-03-15
The 5th Dimension,Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered],,False,290400,48,0.312,-10.05,118.235,0.47,0.555,0.491,0.084,0.0377,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock']",2011-03-15
Martha Reeves & The Vandellas,(Love Is Like A) Heat Wave,,False,163053,62,0.514,-9.287,166.726,0.513,0.624,0.755,0.307,0.0842,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'quiet storm']",1963
Martha Reeves & The Vandellas,(Love Is Like A) Heat Wave,,False,163053,62,0.514,-9.287,166.726,0.513,0.624,0.755,0.307,0.0842,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'quiet storm']",1963
The Temptations,Get Ready,,False,164160,64,0.59,-5.867,132.966,0.404,0.737,0.877,0.108,0.0384,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown']",1966
The Temptations,Get Ready,,False,164160,64,0.59,-5.867,132.966,0.404,0.737,0.877,0.108,0.0384,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown']",1966
Al Martino,Spanish Eyes,,False,166866,48,0.515,-8.565,109.29,0.359,0.49,0.495,0.0875,0.0284,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",1977-01-01
Al Martino,Spanish Eyes,,False,166866,48,0.515,-8.565,109.29,0.359,0.49,0.495,0.0875,0.0284,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",1977-01-01
Andy Williams,"Moon River (From ""Breakfast at Tiffany's"")",,False,162893,66,0.281,-15.513,95.555,0.86,0.212,0.195,0.119,0.031,"['adult standards', 'easy listening', 'mellow gold']",1962
Andy Williams,"Moon River (From ""Breakfast at Tiffany's"")",,False,162893,66,0.281,-15.513,95.555,0.86,0.212,0.195,0.119,0.031,"['adult standards', 'easy listening', 'mellow gold']",1962
The Animals,Don't Let Me Be Misunderstood,,False,145693,50,0.546,-9.604,112.584,0.146,0.568,0.488,0.77,0.0285,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock']",2003-05-05
The Animals,Don't Let Me Be Misunderstood,,False,145693,50,0.546,-9.604,112.584,0.146,0.568,0.488,0.77,0.0285,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock']",2003-05-05
The Band,The Night They Drove Old Dixie Down - Remastered 2000,,False,213266,36,0.507,-8.786,127.671,0.453,0.493,0.467,0.241,0.0327,"['album rock', 'blues rock', 'classic canadian rock', 'classic rock', 'cosmic american']",1969-09-22
The Band,The Night They Drove Old Dixie Down - Remastered 2000,,False,213266,36,0.507,-8.786,127.671,0.453,0.493,0.467,0.241,0.0327,"['album rock', 'blues rock', 'classic canadian rock', 'classic rock', 'cosmic american']",1969-09-22
Eric Clapton,Wonderful Tonight,,False,225026,77,0.572,-15.625,95.542,0.649,0.214,0.485,0.125,0.0293,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold']",1977-11-01
Eric Clapton,I Shot The Sheriff,,False,263746,66,0.73,-11.025,94.395,0.0853,0.639,0.658,0.102,0.0524,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold']",1974-07-01
Eric Clapton,Layla,,False,260440,0,0.51,-14.317,94.04,0.286,0.389,0.621,0.644,0.0384,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold']",1992-08-25
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",,False,281613,82,0.601,-9.119,136.571,0.432,0.532,0.341,0.0925,0.0286,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",1972-05-19
Elton John,Tiny Dancer,,False,377093,80,0.414,-11.097,145.075,0.382,0.428,0.282,0.148,0.0278,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",1971-11-05
"Earth, Wind & Fire",September,,False,215080,68,0.694,-7.288,125.901,0.165,0.831,0.98,0.25,0.0301,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm']",2014-03-25
Eagles,Hotel California - 2013 Remaster,,False,391376,62,0.579,-9.484,147.125,0.00574,0.508,0.609,0.0575,0.027,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock']",2003-10-21
Eagles,Take It Easy - 2013 Remaster,,False,211577,77,0.575,-10.39,139.191,0.343,0.67,0.74,0.129,0.0318,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock']",1972
